student_id;order_timestamp;courses_list;courses_count;amount;order_id;user_id;is_bundle;campaign_id;attributed_post_id
1;2026-09-04 19:30:57;Аналитика старт;1;8950.0;ord_0001;usr_0001;False;camp_bigtech_internships;1878
2;2026-09-05 16:22:48;ML про;1;8950.0;ord_0002;usr_0002;False;camp_bigtech_internships;1878
3;2026-09-03 22:47:02;АВ тестам;1;5975.0;ord_0003;usr_0003;False;camp_bigtech_internships;1878
4;2026-08-31 15:42:34;AI агенты;1;8950.0;ord_0004;usr_0004;False;camp_bigtech_internships;1872
5;2026-08-22 16:19:00;ML про;1;5750.0;ord_0005;usr_0005;False;camp_pro_ai_ml;1859
6;2026-09-02 19:16:28;Аналитика про;1;8450.0;ord_0006;usr_0006;False;camp_bigtech_internships;1877
7;2026-08-08 14:07:56;Backend старт;1;4950.0;ord_0007;usr_0007;False;camp_start_discount_55;1833
8;2026-08-08 16:25:39;АВ тестам, Алгоритмы;2;8990.0;ord_0008;usr_0008;True;camp_start_discount_55;1833
9;2026-09-03 14:55:45;Аналитика про;1;8950.0;ord_0009;usr_0009;False;camp_bigtech_internships;1877
10;2026-09-06 16:25:37;Backend про;1;8450.0;ord_0010;usr_0010;False;camp_bigtech_internships;1881
11;2026-08-27 20:09:27;ML старт;1;6975.0;ord_0011;usr_0011;False;camp_pro_ai_ml;1869
12;2026-08-09 16:52:01;Backend старт;1;6490.0;ord_0012;usr_0012;False;camp_start_discount_55;1836
13;2026-09-07 07:54:24;AI агенты;1;8950.0;ord_0013;usr_0013;False;camp_free_analytics_nosql;1887
14;2026-08-30 23:52:21;AI агенты;1;8950.0;ord_0014;usr_0014;False;camp_pro_ai_ml;1874
15;2026-09-04 15:26:00;Аналитика про;1;8450.0;ord_0015;usr_0015;False;camp_bigtech_internships;1878
16;2026-08-10 16:56:42;ML старт, Алгоритмы старт;2;9900.0;ord_0016;usr_0016;True;camp_start_discount_55;1838
17;2026-08-22 17:01:20;Алгоритмы;1;9950.0;ord_0017;usr_0017;False;camp_pro_ai_ml;1859
18;2026-09-05 14:29:29;Алгоритмы про;1;8950.0;ord_0018;usr_0018;False;camp_bigtech_internships;1878
19;2026-08-09 11:01:50;Алгоритмы старт, Аналитика старт;2;9900.0;ord_0019;usr_0019;True;camp_start_discount_55;1833
20;2026-09-06 11:07:00;Аналитика про, Аналитика старт;2;14950.0;ord_0020;usr_0020;True;camp_bigtech_internships;1878
21;2026-08-10 16:29:36;Алгоритмы старт, Аналитика старт;2;9900.0;ord_0021;usr_0021;True;camp_start_discount_55;1838
22;2026-09-06 14:41:56;ML про;1;8450.0;ord_0022;usr_0022;False;camp_bigtech_internships;1880
23;2026-09-06 15:39:44;ML старт;1;2237.5;ord_0023;usr_0023;False;camp_bigtech_internships;1881
24;2026-09-05 18:23:21;ML про;1;8950.0;ord_0024;usr_0024;False;camp_bigtech_internships;1878
25;2026-08-30 18:34:15;ML про;1;8450.0;ord_0025;usr_0025;False;camp_pro_ai_ml;1874
26;2026-08-08 09:23:01;Backend старт;1;6490.0;ord_0026;usr_0026;False;camp_start_discount_55;1833
26;2026-08-31 14:03:44;Backend про, Дискретка;2;17950.0;ord_0027;usr_0026;True;camp_bigtech_internships;1872
27;2026-08-29 14:47:39;ML про;1;8950.0;ord_0028;usr_0027;False;camp_pro_ai_ml;1869
28;2026-09-04 15:15:34;Аналитика про, Аналитика старт;2;14950.0;ord_0029;usr_0028;True;camp_bigtech_internships;1878
29;2026-08-28 18:20:56;Backend старт;1;8450.0;ord_0030;usr_0029;False;camp_pro_ai_ml;1869
30;2026-08-23 10:06:51;ML про;1;8950.0;ord_0031;usr_0030;False;camp_pro_ai_ml;1859
31;2026-09-05 11:00:21;ML про;1;7475.0;ord_0032;usr_0031;False;camp_bigtech_internships;1878
32;2026-08-09 04:36:11;ML старт;1;6490.0;ord_0033;usr_0032;False;camp_start_discount_55;1833
33;2026-08-08 16:26:36;Backend старт, Алгоритмы старт;2;9990.0;ord_0034;usr_0033;True;camp_start_discount_55;1833
34;2026-09-01 17:23:37;Аналитика про;1;8945.0;ord_0035;usr_0034;False;camp_bigtech_internships;1875
35;2026-09-02 22:38:59;Backend про;1;4225.0;ord_0036;usr_0035;False;camp_bigtech_internships;1877
36;2026-09-09 19:26:20;Алгоритмы, Дискретка, Линейная алгебра, Мат анализ, Теория вероятностей;5;44750.0;ord_0037;usr_0036;True;camp_free_analytics_nosql;1893
37;2026-09-02 04:13:14;Backend про;1;5750.0;ord_0038;usr_0037;False;camp_bigtech_internships;1875
38;2026-08-09 12:15:31;Аналитика старт;1;6490.0;ord_0039;usr_0038;False;camp_start_discount_55;1833
39;2026-08-27 17:02:28;Мат анализ;1;9950.0;ord_0040;usr_0039;False;camp_pro_ai_ml;1869
40;2026-08-09 16:36:02;Аналитика старт;1;6490.0;ord_0041;usr_0040;False;camp_start_discount_55;1836
41;2026-08-12 10:22:39;ML старт;1;6500.0;ord_0042;usr_0041;False;camp_warmup;1843
42;2026-09-06 11:42:46;ML про;1;8450.0;ord_0043;usr_0042;False;camp_bigtech_internships;1878
43;2026-09-05 07:16:30;АВ тестам, Аналитика старт;2;12950.0;ord_0044;usr_0043;True;camp_bigtech_internships;1878
44;2026-09-06 12:29:18;AI агенты;1;6975.0;ord_0045;usr_0044;False;camp_bigtech_internships;1880
45;2026-08-14 10:04:52;Алгоритмы;1;5750.0;ord_0046;usr_0045;False;camp_warmup;1846
46;2026-08-12 05:13:04;К ВУЗу;1;6450.0;ord_0047;usr_0046;False;camp_warmup;1843
47;2026-08-08 12:24:55;ML старт, Алгоритмы старт;2;9990.0;ord_0048;usr_0047;True;camp_start_discount_55;1833
48;2026-09-05 14:24:29;Backend про;1;8950.0;ord_0049;usr_0048;False;camp_bigtech_internships;1878
49;2026-09-06 14:51:02;AI агенты, Backend про;2;14950.0;ord_0050;usr_0049;True;camp_bigtech_internships;1880
50;2026-09-02 10:32:55;Алгоритмы старт;1;8950.0;ord_0051;usr_0050;False;camp_bigtech_internships;1875
51;2026-09-06 15:46:24;ML про;1;2237.5;ord_0052;usr_0051;False;camp_bigtech_internships;1881
52;2026-08-10 18:12:59;К ВУЗу;1;6450.0;ord_0053;usr_0052;False;camp_start_discount_55;1838
53;2026-08-09 13:57:35;ML старт;1;4950.0;ord_0054;usr_0053;False;camp_start_discount_55;1836
54;2026-08-08 12:39:51;Алгоритмы старт;1;6490.0;ord_0055;usr_0054;False;camp_start_discount_55;1833
55;2026-09-06 15:35:13;AI агенты;1;2237.5;ord_0056;usr_0055;False;camp_bigtech_internships;1881
56;2026-09-06 12:12:33;Backend старт;1;7475.0;ord_0057;usr_0056;False;camp_bigtech_internships;1880
57;2026-08-10 00:14:10;ML старт;1;4950.0;ord_0058;usr_0057;False;camp_start_discount_55;1837
58;2026-08-09 16:12:46;Backend старт, ML старт, Алгоритмы старт;3;16390.0;ord_0059;usr_0058;True;camp_start_discount_55;1836
59;2026-09-06 13:32:21;ML про;1;8950.0;ord_0060;usr_0059;False;camp_bigtech_internships;1880
60;2026-09-05 19:44:33;ML про;1;8950.0;ord_0061;usr_0060;False;camp_bigtech_internships;1878
61;2026-08-27 19:44:33;ML про, ML старт;2;13950.0;ord_0062;usr_0061;True;camp_pro_ai_ml;1869
62;2026-08-09 18:47:09;Backend старт, Алгоритмы старт;2;9990.0;ord_0063;usr_0062;True;camp_start_discount_55;1837
63;2026-08-09 19:29:08;Data Engenering, Data Science;2;12900.0;ord_0064;usr_0063;True;camp_start_discount_55;1837
63;2026-09-07 05:24:57;Алгоритмы про;1;8950.0;ord_0065;usr_0063;False;camp_free_analytics_nosql;1887
64;2026-08-09 14:45:05;Алгоритмы;1;4995.0;ord_0066;usr_0064;False;camp_start_discount_55;1836
65;2026-08-09 18:45:20;Аналитика старт;1;6490.0;ord_0067;usr_0065;False;camp_start_discount_55;1837
66;2026-08-13 05:36:55;Алгоритмы старт;1;8745.0;ord_0068;usr_0066;False;camp_warmup;1844
