lead_id;user_id;post_id;campaign_id;channel_id;lead_timestamp;status;is_synthetic
lead_0001;usr_0001;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-02 21:49:56.139;converted;True
lead_0002;unstitched_0002;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-04 11:14:34.984;unstitched;True
lead_0003;usr_0003;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-03 14:27:07.727;converted;True
lead_0004;usr_0004;1872;camp_bigtech_internships;ch_postupashki_main;2026-08-29 21:59:56.996;converted;True
lead_0005;usr_0005;1859;camp_pro_ai_ml;ch_postupashki_main;2026-08-21 06:02:14.120;converted;True
lead_0006;usr_0006;1877;camp_bigtech_internships;ch_postupashki_main;2026-08-31 20:41:19.253;converted;True
lead_0007;unstitched_0007;1833;camp_start_discount_55;ch_postupashki_main;2026-08-08 03:09:08.222;unstitched;True
lead_0008;usr_0008;1833;camp_start_discount_55;ch_postupashki_main;2026-08-08 06:48:26.957;converted;True
lead_0009;usr_0009;1877;camp_bigtech_internships;ch_postupashki_main;2026-09-02 13:15:56.212;converted;True
lead_0010;usr_0010;1881;camp_bigtech_internships;ch_postupashki_main;2026-09-06 01:44:21.029;converted;True
lead_0011;usr_0011;1869;camp_pro_ai_ml;ch_postupashki_main;2026-08-27 12:36:04.639;converted;True
lead_0012;usr_0012;1836;camp_start_discount_55;ch_postupashki_main;2026-08-08 22:38:52.576;converted;True
lead_0013;usr_0013;1887;camp_free_analytics_nosql;ch_postupashki_main;2026-09-05 18:00:12.227;converted;True
lead_0014;usr_0014;1874;camp_pro_ai_ml;ch_postupashki_main;2026-08-29 22:42:12.533;converted;True
lead_0015;usr_0015;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-04 12:15:00.590;converted;True
lead_0016;usr_0016;1838;camp_start_discount_55;ch_postupashki_main;2026-08-10 07:55:49.318;converted;True
lead_0017;usr_0017;1859;camp_pro_ai_ml;ch_postupashki_main;2026-08-20 19:25:28.567;converted;True
lead_0018;unstitched_0018;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-03 23:29:48.169;unstitched;True
lead_0019;usr_0019;1833;camp_start_discount_55;ch_postupashki_main;2026-08-09 05:26:23.878;converted;True
lead_0020;usr_0020;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-05 13:25:46.198;converted;True
lead_0021;usr_0021;1838;camp_start_discount_55;ch_postupashki_main;2026-08-09 16:13:12.067;converted;True
lead_0022;usr_0022;1880;camp_bigtech_internships;ch_postupashki_main;2026-09-04 18:57:38.988;converted;True
lead_0023;usr_0023;1881;camp_bigtech_internships;ch_postupashki_main;2026-09-05 07:31:25.229;converted;True
lead_0024;usr_0024;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-04 16:56:45.491;converted;True
lead_0025;usr_0025;1874;camp_pro_ai_ml;ch_postupashki_main;2026-08-30 08:52:57.626;converted;True
lead_0026;unstitched_0026;1833;camp_start_discount_55;ch_postupashki_main;2026-08-06 19:57:08.526;unstitched;True
lead_0027;unstitched_0027;1872;camp_bigtech_internships;ch_postupashki_main;2026-08-29 19:00:19.212;unstitched;True
lead_0028;usr_0027;1869;camp_pro_ai_ml;ch_postupashki_main;2026-08-27 18:27:57.879;converted;True
lead_0029;usr_0028;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-04 05:02:53.700;converted;True
lead_0030;usr_0029;1869;camp_pro_ai_ml;ch_postupashki_main;2026-08-28 02:03:30.108;converted;True
lead_0031;usr_0030;1859;camp_pro_ai_ml;ch_postupashki_main;2026-08-22 20:21:38.744;converted;True
lead_0032;unstitched_0032;1878;camp_bigtech_internships;ch_postupashki_main;2026-09-04 17:14:18.337;unstitched;True
lead_0033;usr_0032;1833;camp_start_discount_55;ch_postupashki_main;2026-08-08 02:05:46.823;converted;True
